Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
dodjiesLearn,0.955,3328.543,6.549,10330,-0.122
dodjiesLearn,0.890,3336.641,6.580,10408,-0.122
dodjiesLearn,0.878,3344.623,6.508,10302,-0.121
dodjiesLearn,0.883,3352.933,6.781,10352,-0.122
dodjiesLearn,0.869,3361.029,6.582,10332,-0.122
dodjiesLearn,0.883,3368.895,6.420,10342,-0.122
dodjiesLearn,0.866,3376.846,6.457,10244,-0.122
dodjiesLearn,0.868,3384.712,6.386,10282,-0.122
dodjiesLearn,0.907,3392.751,6.515,10368,-0.122
dodjiesLearn,0.869,3400.582,6.372,10260,-0.122
dodjiesLearn,0.897,3408.555,6.466,10248,-0.122
dodjiesLearn,0.868,3416.526,6.470,10294,-0.122
dodjiesLearn,0.901,3424.400,6.363,10364,-0.122
dodjiesLearn,0.857,3432.567,6.701,10272,-0.122
dodjiesLearn,0.862,3440.617,6.566,10304,-0.122
dodjiesLearn,0.856,3448.692,6.582,10316,-0.123
dodjiesLearn,0.871,3456.590,6.408,10354,-0.122
dodjiesLearn,0.885,3464.444,6.371,10258,-0.123
dodjiesLearn,0.895,3472.342,6.384,10302,-0.123
dodjiesLearn,0.893,3480.402,6.550,10322,-0.123
dodjiesLearn,0.882,3488.372,6.436,10298,-0.123
dodjiesLearn,0.857,3496.476,6.646,10284,-0.123
dodjiesLearn,0.890,3504.545,6.541,10328,-0.123
dodjiesLearn,0.863,3512.311,6.276,10316,-0.123
dodjiesLearn,0.909,3520.337,6.516,10286,-0.123
dodjiesLearn,0.882,3528.397,6.552,10364,-0.123
dodjiesLearn,0.907,3536.337,6.417,10260,-0.123
dodjiesLearn,0.878,3544.321,6.509,10348,-0.124
dodjiesLearn,0.978,3552.480,6.525,10356,-0.124
dodjiesLearn,0.875,3560.871,6.865,10350,-0.124
dodjiesLearn,0.881,3568.693,6.354,10282,-0.124
dodjiesLearn,0.899,3576.771,6.511,10318,-0.124
